aimophila rufescens
ammodramus leconteii
ammodramus savannarum
amphispiza belli
amphispiza bilineata
arremon aurantiirostris
arremon brunneinucha
arremonops rufivirgatus
atlapetes citrinellus
atlapetes gutturalis
calamospiza melanocorys
chlorospingus ophthalmicus
chondestes grammacus
geothlypis trichas
icterus gularis
junco phaeonotus
melospiza melodia
melozone aberti
melozone leucotis
oriturus superciliosus
passerculus sandwichensis
passerella iliaca
peucaea ruficauda
pezopetes capitalis
pipilo chlorurus
pooecetes gramineus
rhynchospiza strigiceps
spizella arborea
spizella atrogularis
zonotrichia atricapilla
